geo country;time;powertrain;relative sales
Denmark;2023;BEV;0,3624
Estonia;2000;BEV;0
Estonia;2001;BEV;0
Estonia;2002;BEV;0
Estonia;2003;BEV;0
Estonia;2004;BEV;0
Estonia;2005;BEV;0
Estonia;2006;BEV;0
Estonia;2007;BEV;0
Estonia;2008;BEV;0
Estonia;2009;BEV;0
Estonia;2010;BEV;0
Estonia;2011;BEV;0,0033
Estonia;2012;BEV;0,0261
Estonia;2013;BEV;0,005900001
Estonia;2014;BEV;0,015
Estonia;2015;BEV;0,0018
Estonia;2016;BEV;0,0021
Estonia;2017;BEV;0,000999999
Estonia;2018;BEV;0,003800001
Estonia;2019;BEV;0,002900001
Estonia;2020;BEV;0,0192
Estonia;2021;BEV;0,0225
Estonia;2022;BEV;0,033
Estonia;2023;BEV;0,063800001
Finland;2000;BEV;0
Finland;2001;BEV;0
Finland;2002;BEV;0
Finland;2003;BEV;0
Finland;2004;BEV;0
Finland;2005;BEV;0
Finland;2006;BEV;0
Finland;2007;BEV;0
Finland;2008;BEV;0
Finland;2009;BEV;0
Finland;2010;BEV;9,99E-05
Finland;2011;BEV;0,0002001
Finland;2012;BEV;0,000500667
Finland;2013;BEV;0,000500667
Finland;2014;BEV;0,001700001
Finland;2015;BEV;0,002199999
Finland;2016;BEV;0,001899999
Finland;2017;BEV;0,004400001
Finland;2018;BEV;0,006699999
Finland;2019;BEV;0,016599999
Finland;2020;BEV;0,044000001
Finland;2021;BEV;0,103100001
Finland;2022;BEV;0,1779
Finland;2023;BEV;0,339099999
France;2000;BEV;0
France;2001;BEV;0,0002
France;2002;BEV;0,0001
France;2003;BEV;0,0001
France;2004;BEV;0,0002
France;2005;BEV;0
France;2006;BEV;0
France;2007;BEV;0
France;2008;BEV;0
France;2009;BEV;0
France;2010;BEV;9,99E-05
France;2011;BEV;0,0012
France;2012;BEV;0,003
France;2013;BEV;0,004899999
France;2014;BEV;0,0063
France;2015;BEV;0,009399999
France;2016;BEV;0,011600001
France;2017;BEV;0,012699999
France;2018;BEV;0,015099999
France;2019;BEV;0,0198
France;2020;BEV;0,0672
France;2021;BEV;0,097700001
France;2022;BEV;0,132699999
France;2023;BEV;0,167300001
Germany;2000;BEV;0
Germany;2001;BEV;2,82E-06
Germany;2002;BEV;5,65E-06
Germany;2003;BEV;8,49E-06
Germany;2004;BEV;1,13E-05
Germany;2005;BEV;1,42E-05
Germany;2006;BEV;4,53E-05
Germany;2007;BEV;7,81E-05
Germany;2008;BEV;0
Germany;2009;BEV;0
Germany;2010;BEV;0
Germany;2011;BEV;0,0006
Germany;2012;BEV;0,000800001
Germany;2013;BEV;0,0018
Germany;2014;BEV;0,003
Germany;2015;BEV;0,0042
Germany;2016;BEV;0,003800001
Germany;2017;BEV;0,0075
Germany;2018;BEV;0,010599999
Germany;2019;BEV;0,0171
Germany;2020;BEV;0,065600001
Germany;2021;BEV;0,134000001
Germany;2022;BEV;0,175100001
Germany;2023;BEV;0,182799999
Greece;2000;BEV;0
Greece;2001;BEV;0
Greece;2002;BEV;0
Greece;2003;BEV;0
