geo country;stock_year;powertrain;share
Cyprus;2021;G-PHEV;0,0008
Cyprus;2022;G-PHEV;0,0011
Cyprus;2023;G-PHEV;0,0019
Czech Republic;2008;BEV;0
Czech Republic;2009;BEV;0
Czech Republic;2010;BEV;0
Czech Republic;2011;BEV;0
Czech Republic;2012;BEV;0,0001
Czech Republic;2013;BEV;0,0001
Czech Republic;2014;BEV;0,0002
Czech Republic;2015;BEV;0,0003
Czech Republic;2016;BEV;0,0003
Czech Republic;2017;BEV;0,0004
Czech Republic;2018;BEV;0,0005
Czech Republic;2019;BEV;0,0007
Czech Republic;2020;BEV;0,0012
Czech Republic;2021;BEV;0,0016
Czech Republic;2022;BEV;0,0022
Czech Republic;2023;BEV;0,0036
Czech Republic;2008;G-PHEV;0
Czech Republic;2009;G-PHEV;0
Czech Republic;2010;G-PHEV;0
Czech Republic;2011;G-PHEV;0
Czech Republic;2012;G-PHEV;0
Czech Republic;2013;G-PHEV;0
Czech Republic;2014;G-PHEV;0
Czech Republic;2015;G-PHEV;0
Czech Republic;2016;G-PHEV;0,0001
Czech Republic;2017;G-PHEV;0,0001
Czech Republic;2018;G-PHEV;0,0001
Czech Republic;2019;G-PHEV;0,0002
Czech Republic;2020;G-PHEV;0,0005
Czech Republic;2021;G-PHEV;0,0008
Czech Republic;2022;G-PHEV;0,0014
Czech Republic;2023;G-PHEV;0,0017
Denmark;2008;BEV;0
Denmark;2009;BEV;0
Denmark;2010;BEV;0
Denmark;2011;BEV;0
Denmark;2012;BEV;0,0004
Denmark;2013;BEV;0,0006
Denmark;2014;BEV;0,0013
Denmark;2015;BEV;0,0031
Denmark;2016;BEV;0,0035
Denmark;2017;BEV;0,0037
Denmark;2018;BEV;0,0042
Denmark;2019;BEV;0,0062
Denmark;2020;BEV;0,0112
Denmark;2021;BEV;0,0226
Denmark;2022;BEV;0,0403
Denmark;2023;BEV;0,0568
Denmark;2008;G-PHEV;0
Denmark;2009;G-PHEV;0
Denmark;2010;G-PHEV;0
Denmark;2011;G-PHEV;0
Denmark;2012;G-PHEV;0
Denmark;2013;G-PHEV;0
Denmark;2014;G-PHEV;0,0001
Denmark;2015;G-PHEV;0,0002
Denmark;2016;G-PHEV;0,0003
Denmark;2017;G-PHEV;0,0005
Denmark;2018;G-PHEV;0,0017
Denmark;2019;G-PHEV;0,0032
Denmark;2020;G-PHEV;0,0098
Denmark;2021;G-PHEV;0,0248
Denmark;2022;G-PHEV;0,0348
Denmark;2023;G-PHEV;0,037
Estonia;2008;BEV;0
Estonia;2009;BEV;0
Estonia;2010;BEV;0
Estonia;2011;BEV;0,0001
Estonia;2012;BEV;0,001
Estonia;2013;BEV;0,0011
Estonia;2014;BEV;0,0016
Estonia;2015;BEV;0,0016
Estonia;2016;BEV;0,0016
Estonia;2017;BEV;0,0016
Estonia;2018;BEV;0,0017
Estonia;2019;BEV;0,0018
Estonia;2020;BEV;0,0022
Estonia;2021;BEV;0,0027
Estonia;2022;BEV;0,0035
Estonia;2023;BEV;0,005
Estonia;2008;G-PHEV;0
Estonia;2009;G-PHEV;0
Estonia;2010;G-PHEV;0
Estonia;2011;G-PHEV;0
Estonia;2012;G-PHEV;0
Estonia;2013;G-PHEV;0
Estonia;2014;G-PHEV;0,0001
Estonia;2015;G-PHEV;0,0001
Estonia;2016;G-PHEV;0,0001
Estonia;2017;G-PHEV;0,0001
Estonia;2018;G-PHEV;0,0002
Estonia;2019;G-PHEV;0,0002
Estonia;2020;G-PHEV;0,0003
Estonia;2021;G-PHEV;0,0005
Estonia;2022;G-PHEV;0,0008
Estonia;2023;G-PHEV;0,0013
Finland;2008;BEV;0
Finland;2009;BEV;0
Finland;2010;BEV;0
Finland;2011;BEV;0
Finland;2012;BEV;0
Finland;2013;BEV;0,0001
Finland;2014;BEV;0,0001
Finland;2015;BEV;0,0002
Finland;2016;BEV;0,0003
Finland;2017;BEV;0,0004
Finland;2018;BEV;0,0007
Finland;2019;BEV;0,0013
Finland;2020;BEV;0,0027
Finland;2021;BEV;0,0063
Finland;2022;BEV;0,0128
Finland;2023;BEV;0,0196
Finland;2008;G-PHEV;0
Finland;2009;G-PHEV;0
Finland;2010;G-PHEV;0
Finland;2011;G-PHEV;0
Finland;2012;G-PHEV;0
Finland;2013;G-PHEV;0,0001
Finland;2014;G-PHEV;0,0002
Finland;2015;G-PHEV;0,0003
Finland;2016;G-PHEV;0,0007
Finland;2017;G-PHEV;0,0017
Finland;2018;G-PHEV;0,0038
Finland;2019;G-PHEV;0,007
Finland;2020;G-PHEV;0,0126
Finland;2021;G-PHEV;0,0211
Finland;2022;G-PHEV;0,0284
Finland;2023;G-PHEV;0,0305
France;2008;BEV;0
France;2009;BEV;0,0001
France;2010;BEV;0,0001
France;2011;BEV;0,0002
France;2012;BEV;0,0002
France;2013;BEV;0,0004
France;2014;BEV;0,0007
France;2015;BEV;0,0011
France;2016;BEV;0,0017
France;2017;BEV;0,0024
France;2018;BEV;0,0033
France;2019;BEV;0,0046
France;2020;BEV;0,0077
France;2021;BEV;0,0121
France;2022;BEV;0,0176
France;2023;BEV;0,0232
France;2008;G-PHEV;0
France;2009;G-PHEV;0
France;2010;G-PHEV;0
France;2011;G-PHEV;0
France;2012;G-PHEV;0
France;2013;G-PHEV;0
France;2014;G-PHEV;0,0001
France;2015;G-PHEV;0,0002
France;2016;G-PHEV;0,0004
France;2017;G-PHEV;0,0007
France;2018;G-PHEV;0,001
France;2019;G-PHEV;0,0015
France;2020;G-PHEV;0,0034
France;2021;G-PHEV;0,0071
France;2022;G-PHEV;0,0105
France;2023;G-PHEV;0,0145
Germany;2008;BEV;0
Germany;2009;BEV;0
Germany;2010;BEV;0,0001
Germany;2011;BEV;0,0001
Germany;2012;BEV;0,0002
Germany;2013;BEV;0,0003
Germany;2014;BEV;0,0004
Germany;2015;BEV;0,0006
Germany;2016;BEV;0,0007
Germany;2017;BEV;0,0012
Germany;2018;BEV;0,0018
Germany;2019;BEV;0,0028
Germany;2020;BEV;0,0064
Germany;2021;BEV;0,0136
Germany;2022;BEV;0,02
Germany;2023;BEV;0,0278
Germany;2008;G-PHEV;0
Germany;2009;G-PHEV;0
Germany;2010;G-PHEV;0
Germany;2011;G-PHEV;0
Germany;2012;G-PHEV;0
Germany;2013;G-PHEV;0,0001
Germany;2014;G-PHEV;0,0002
Germany;2015;G-PHEV;0,0004
Germany;2016;G-PHEV;0,0007
Germany;2017;G-PHEV;0,001
Germany;2018;G-PHEV;0,0014
Germany;2019;G-PHEV;0,0023
Germany;2020;G-PHEV;0,0059
Germany;2021;G-PHEV;0,0126
Germany;2022;G-PHEV;0,0191
Germany;2023;G-PHEV;0,021
Greece;2008;BEV;0
