geo country;vehicle age;survival rate
Cyprus;36;0
Cyprus;37;0
Cyprus;38;0
Cyprus;39;0
Cyprus;40;0
Cyprus;41;0
Cyprus;42;0
Cyprus;43;0
Cyprus;44;0
Cyprus;45;0
Czech Republic;1;0,945967651
Czech Republic;2;0,813330532
Czech Republic;3;0,777485589
Czech Republic;4;0,912610689
Czech Republic;5;0,954436585
Czech Republic;6;0,887140524
Czech Republic;7;1,06493859
Czech Republic;8;1,243217026
Czech Republic;9;1,176965559
Czech Republic;10;1,181903487
Czech Republic;11;1,454582949
Czech Republic;12;1,522759636
Czech Republic;13;1,713532552
Czech Republic;14;1,857281465
Czech Republic;15;1,985432344
Czech Republic;16;1,932607399
Czech Republic;17;1,957316647
Czech Republic;18;1,646100865
Czech Republic;19;1,666065217
Czech Republic;20;1,61802407
Czech Republic;21;1,65563305
Czech Republic;22;1,68411986
Czech Republic;23;1,74395381
Czech Republic;24;1,434979131
Czech Republic;25;1,598886738
Czech Republic;26;2,195887747
Czech Republic;27;2,601610753
Czech Republic;28;0
Czech Republic;29;0
Czech Republic;30;0
Czech Republic;31;0
Czech Republic;32;0
Czech Republic;33;0
Czech Republic;34;0
Czech Republic;35;0
Czech Republic;36;0
Czech Republic;37;0
Czech Republic;38;0
Czech Republic;39;0
Czech Republic;40;0
Czech Republic;41;0
Czech Republic;42;0
Czech Republic;43;0
Czech Republic;44;0
Czech Republic;45;0
Germany;1;0,94454894
Germany;2;0,933863504
Germany;3;0,956680393
Germany;4;0,906070183
Germany;5;0,87654006
Germany;6;0,862376466
Germany;7;0,837823085
Germany;8;0,812823349
Germany;9;0,788428586
Germany;10;0,763191873
Germany;11;0,728464278
Germany;12;0,686844451
Germany;13;0,678761812
Germany;14;0,584181435
Germany;15;0,521423764
Germany;16;0,485922996
Germany;17;0,424018632
Germany;18;0,364830879
Germany;19;0,326898445
Germany;20;0,264209637
Germany;21;0,217420201
Germany;22;0,175188547
Germany;23;0,143850258
Germany;24;0,108011082
Germany;25;0,083649384
Germany;26;0,065132482
Germany;27;0,052772716
Germany;28;0,040999008
Germany;29;0,036526158
Germany;30;0,03327448
Germany;31;0,038901104
Germany;32;0,036168974
Germany;33;0,03115505
Germany;34;0,024693556
Germany;35;0,020621788
Germany;36;0,017593246
Germany;37;0,016096174
Germany;38;0,015258116
Germany;39;0,015051669
Germany;40;0,016945661
Germany;41;0,01567457
Germany;42;0,015055311
Germany;43;0,013923534
Germany;44;0,015894213
Germany;45;0,016349731
Denmark;1;0,934461285
Denmark;2;0,918850733
Denmark;3;0,858526986
Denmark;4;0,879533679
Denmark;5;0,9249518
Denmark;6;0,89961928
Denmark;7;0,92456884
Denmark;8;0,917105871
Denmark;9;0,920578157
Denmark;10;0,90515935
Denmark;11;0,816194919
Denmark;12;0,768159152
Denmark;13;0,706438365
Denmark;14;0,656358894
Denmark;15;0,602039623
Denmark;16;0,565859915
Denmark;17;0,479276878
Denmark;18;0,413740483
Denmark;19;0,329499176
Denmark;20;0,294118174
Denmark;21;0,204788064
Denmark;22;0,156864643
Denmark;23;0,106758556
Denmark;24;0,077565059
Denmark;25;0,056432536
Denmark;26;0,060679509
Denmark;27;0,063457911
Denmark;28;0,061959509
Denmark;29;0,104916914
Denmark;30;0,101895454
Denmark;31;0,10273417
Denmark;32;0,106535374
Denmark;33;0,10977273
Denmark;34;0,063580038
Denmark;35;0
Denmark;36;0
Denmark;37;0
Denmark;38;0
Denmark;39;0
Denmark;40;0
Denmark;41;0
Denmark;42;0
Denmark;43;0
Denmark;44;0
Denmark;45;0
Spain;1;1,072014306
Spain;2;1,027271766
Spain;3;0,97994753
Spain;4;0,972292285
Spain;5;0,977954252
Spain;6;0,964448405
Spain;7;0,950480163
Spain;8;0,919540095
Spain;9;0,881052569
Spain;10;0,849094254
Spain;11;0,852185072
Spain;12;0,888973183
Spain;13;0,913186995
Spain;14;0,834842436
Spain;15;0,830803147
Spain;16;0,813383392
Spain;17;0,828428971
Spain;18;0,747963139
Spain;19;0,670544798
Spain;20;0,570407778
Spain;21;0,502807643
Spain;22;0,423100425
Spain;23;0,353222694
Spain;24;0,284852373
Spain;25;0,233237864
Spain;26;0,18835627
Spain;27;0,157220606
Spain;28;0,144261401
Spain;29;0,136118919
Spain;30;0,123626844
Spain;31;0,115297587
Spain;32;0,106637522
Spain;33;0,114971874
Spain;34;0,105144307
Spain;35;0,090207102
Spain;36;0,066896075
Spain;37;0,056976649
Spain;38;0,054111518
Spain;39;0,061318919
Spain;40;0,064194293
Spain;41;0,065484899
Spain;42;0,076889749
Spain;43;0,085104689
Spain;44;0,091016281
Spain;45;0,092538139
Estonia;1;0,928931318
Estonia;2;0,894477573
Estonia;3;0,910382831
Estonia;4;1,018852147
Estonia;5;1,087180488
Estonia;6;1,144033278
Estonia;7;1,216767945
Estonia;8;1,224887627
Estonia;9;1,273165778
Estonia;10;1,373777412
Estonia;11;1,544724972
Estonia;12;1,971550636
Estonia;13;1,982710092
Estonia;14;1,574705165
Estonia;15;1,488679001
Estonia;16;1,517105471
Estonia;17;1,64582803
Estonia;18;1,818517621
Estonia;19;1,733442872
Estonia;20;1,656009795
Estonia;21;1,66853845
Estonia;22;2,052539063
Estonia;23;2,945367133
Estonia;24;2,254047619
Estonia;25;1,875529213
Estonia;26;3,540415194
Estonia;27;1,116398667
Estonia;28;1,041829416
Estonia;29;0,97987369
Estonia;30;1,102334053
Estonia;31;0,957650365
Estonia;32;0,729664752
Estonia;33;0,666309372
Estonia;34;0,639313363
Estonia;35;0,574888075
Estonia;36;0,523861616
Estonia;37;0,45060241
Estonia;38;0,377009424
Estonia;39;0,344702518
Estonia;40;0,221847559
Estonia;41;0,152915369
Estonia;42;0,131803933
Estonia;43;0,111731844
Estonia;44;0,090778098
Estonia;45;0,086988092
Finland;1;0,963036043
Finland;2;1,004848046
