geo country;vehicle age;number of registered vehicles
Czech Republic;49;0
Czech Republic;50;0
Czech Republic;51;0
Czech Republic;52;0
Czech Republic;53;0
Czech Republic;54;0
Czech Republic;55;0
Czech Republic;56;0
Czech Republic;57;0
Czech Republic;58;0
Czech Republic;59;0
Czech Republic;60;0
Czech Republic;61;0
Czech Republic;62;0
Czech Republic;63;0
Czech Republic;64;0
Czech Republic;65;0
Czech Republic;66;0
Czech Republic;67;0
Czech Republic;68;0
Czech Republic;69;0
Czech Republic;70;0
Czech Republic;71;0
Czech Republic;72;0
Czech Republic;73;0
Czech Republic;74;0
Czech Republic;75;0
Czech Republic;76;0
Czech Republic;77;0
Czech Republic;78;0
Czech Republic;79;0
Czech Republic;80;0
Czech Republic;81;0
Czech Republic;82;0
Czech Republic;83;0
Czech Republic;84;0
Czech Republic;85;0
Czech Republic;86;0
Czech Republic;87;0
Czech Republic;88;0
Czech Republic;89;0
Czech Republic;90;0
Czech Republic;91;0
Czech Republic;92;0
Czech Republic;93;0
Czech Republic;94;0
Czech Republic;95;0
Czech Republic;96;0
Czech Republic;97;0
Czech Republic;98;0
Czech Republic;99;0
Czech Republic;100;0
Czech Republic;101;0
Czech Republic;102;0
Czech Republic;103;0
Czech Republic;104;0
Czech Republic;105;0
Czech Republic;106;0
Czech Republic;107;0
Czech Republic;108;0
Czech Republic;109;0
Czech Republic;110;0
Czech Republic;111;0
Czech Republic;112;0
Czech Republic;113;0
Czech Republic;114;0
Czech Republic;115;0
Czech Republic;116;0
Czech Republic;117;0
Czech Republic;118;0
Czech Republic;119;0
Czech Republic;120;0
Czech Republic;121;0
Spain;1;921377
Spain;2;874424
Spain;3;1233018
Spain;4;1284823
Spain;5;1207707
Spain;6;1106231
Spain;7;983017
Spain;8;786490
Spain;9;636727
Spain;10;594017
Spain;11;688609
Spain;12;872985
Spain;13;870059
Spain;14;969399
Spain;15;1341610
Spain;16;1329563
Spain;17;1266566
Spain;18;1134874
Spain;19;926766
Spain;20;759713
Spain;21;716789
Spain;22;584410
Spain;23;496718
Spain;24;339695
Spain;25;237059
Spain;26;171579
Spain;27;131180
Spain;28;131232
Spain;29;101259
Spain;30;121407
Spain;31;102267
Spain;32;105376
Spain;33;114969
Spain;34;104950
Spain;35;89823
Spain;36;66427
Spain;37;56396
Spain;38;53344
Spain;39;60192
Spain;40;62670
Spain;41;63514
Spain;42;74004
Spain;43;81228
Spain;44;86069
Spain;45;86638
Spain;46;83545
Spain;47;81009
Spain;48;86808
Spain;49;102911
Spain;50;94570
Spain;51;86202
Spain;52;79929
Spain;53;74928
Spain;54;59093
Spain;55;52658
Spain;56;40809
Spain;57;22954
Spain;58;15693
Spain;59;8291
Spain;60;5949
Spain;61;4165
Spain;62;2480
Spain;63;1644
Spain;64;1237
Spain;65;1004
Spain;66;1384
Spain;67;782
Spain;68;678
Spain;69;397
Spain;70;278
Spain;71;170
Spain;72;100
Spain;73;135
Spain;74;149
Spain;75;114
Spain;76;70
Spain;77;65
Spain;78;55
Spain;79;75
Spain;80;85
Spain;81;50
Spain;82;111
